"","Koppen","Estacion","Lluvia","VelRafaga","Vel9am","Vel3pm","Hum9am","Hum3pm","Pres9am","Pre3pm","Temp9am","Nub9am","Nub3pm","Evaporacion","Sol","Temp3pm","LluviaHoy","target"
"29","Subtropical","Invierno",1.6,48,15,19,81,55,1026.4,1025.5,12.7,6,3,4.2,7.6,16,1,4.2
"30","Subtropical","Invierno",3.6,35,15,15,61,40,1023.5,1022.9,11.4,1,1,2,9.4,15,1,9.4
"31","Temperate","Otoño",6.6,54,11,31,96,92,1008.9,1004.4,10.1,8,8,6,0.3,13,1,5.6
"32","Temperate","Verano",0.2,43,22,20,94,44,1011.2,1010.7,16.6,8,7,4.2,1.8,23.4,0,8.2
"33","Temperate","Primavera",11.6,50,20,20,65,45,1001,998.7,10.8,7,6,2.8,5.3,15.5,1,10.1
"34","Tropical","Invierno",0,35,15,15,54,47,1013.8,1009.5,23,6,6,5.2,7.1,29,0,11
"35","Temperate","Verano",0,43,22,26,71,43,1018,1016,19.2,3,6,4.8,11.6,24.9,0,14.6
"36","Grassland","Invierno",0,33,0,13,38,10,1023.6,1020.2,10.2,0,0,5.2,10.9,21.8,0,20.7
"37","Subtropical","Primavera",0,59,26,43,72,60,1017.4,1014.5,23.3,1,5,4.8,10.7,26.2,0,9.2
"38","Subtropical","Otoño",0,20,11,13,58,37,1028.2,1025.1,16.1,7,7,3.4,2.8,24.2,0,11.6
"39","Grassland","Primavera",0,57,6,24,15,14,1011.6,1008.3,30.4,1,7,14.2,9.6,33.4,0,12.2
"40","Temperate","Otoño",7,56,20,26,96,69,1017,1014.2,11.2,7,7,0.8,4.6,14.1,1,4.2
"41","Subtropical","Otoño",0,72,33,20,85,92,1016.5,1015.4,20.3,8,8,6.2,0,18.3,0,2.5
"42","Grassland","Otoño",0,31,15,15,37,36,1011.8,1009.8,25,0,1,7.8,11.7,29.2,0,11.2
"43","Subtropical","Primavera",0,39,17,24,16,9,1019.7,1016,29.3,0,0,9.2,13.2,32.8,0,25.8
"44","Temperate","Invierno",0,17,9,9,91,77,1020.4,1018.7,13.3,7,7,3.2,0.6,15.4,0,4.4
"45","Temperate","Otoño",3.2,28,15,13,97,86,1019.9,1017.5,16.1,8,7,3.2,0.4,19.7,1,5.9
"46","Tropical","Invierno",0,41,24,20,55,31,1011.6,1007.9,23.9,4,2,4.4,10.8,30.7,0,11
"47","Tropical","Verano",0,30,11,17,68,61,1009.4,1006.9,28.7,5,3,10.2,8.3,30.2,0,7.2
"48","Temperate","Primavera",2.2,26,13,9,78,55,1022.1,1017.5,11.7,2,2,2.8,10.3,17.3,1,11.6
"49","Temperate","Invierno",0.2,31,0,11,100,61,1030.2,1027.5,3.9,1,5,0.4,7.8,16.1,0,14.8
"50","Subtropical","Otoño",0,17,4,4,54,43,1023.1,1019.8,17.5,2,2,5.8,8.4,24.5,0,12.1
"51","Temperate","Otoño",0,43,11,17,70,41,1017.2,1020.2,14.8,1,5,12.4,10.4,19.7,0,8.3
"52","Subtropical","Verano",0,37,7,17,45,62,1003.7,1005.6,27.6,5,7,13.6,12.7,27.3,0,10.9
"53","Desert","Verano",0,80,26,31,16,64,1005.4,1008.2,29.8,4,7,11.6,5.1,22.5,0,18.7
"54","Subtropical","Otoño",0,35,15,24,78,67,1020.1,1019.3,21.7,3,3,3.6,10.1,24.4,0,5.6
"55","Subtropical","Verano",0,54,15,13,34,15,1012.1,1008.7,25.1,5,1,18.8,13.4,34.3,0,23.3
"56","Grassland","Primavera",0,46,24,24,39,20,1017.9,1013.7,15.8,2,1,4,11.5,27.9,0,21.2
"57","Tropical","Invierno",0,37,13,22,65,50,1014.4,1009.7,26.2,0,1,6.4,11.3,29.9,0,13.5
"58","Temperate","Verano",0,63,28,33,27,18,1008.6,1002.4,23.7,0,6,13.4,13.1,33.7,0,18.5
"59","Temperate","Verano",0,39,2,9,78,31,1012.2,1009.1,17.4,2,7,7.2,8.2,28.6,0,16.9
"60","Temperate","Invierno",0,54,24,24,68,59,1020.4,1018.1,10.2,7,7,1.4,2.6,15,0,12.1
"61","Subtropical","Otoño",0,39,17,22,39,59,1015.1,1014,23.3,2,2,4.8,8.4,24.8,0,8.6
"62","Temperate","Verano",7.2,48,22,30,59,44,1013.2,1012.5,16.3,7,5,9,5.7,20.4,1,7.2
"63","Temperate","Primavera",6.4,63,9,31,81,35,995.3,993.9,14.2,5,1,3.6,10.8,22,1,15.3
"64","Tropical","Invierno",0.4,17,11,11,85,67,1014.3,1011.6,23.8,7,3,4,3.6,27.7,0,5.9
"65","Temperate","Invierno",0,31,19,19,71,46,1032.9,1031.1,5.7,2,3,1.6,9.8,12.3,0,12.2
"66","Subtropical","Otoño",0,26,6,7,65,59,1018.9,1016.8,18.1,1,7,2.8,5.6,21.1,0,11
"67","Temperate","Primavera",0,41,24,28,52,46,1018.8,1018.3,15.8,7,7,3.6,3.5,18.3,0,8.2
"68","Temperate","Otoño",8.6,54,35,26,94,72,1017.2,1017.5,10.6,8,7,1.6,0.5,13.8,1,5.9
"69","Temperate","Verano",0,43,24,30,61,50,1013.7,1014.6,19.8,4,5,6,9,22.9,0,13.5
"70","Tropical","Verano",13.2,59,20,13,93,71,1005.8,1004.8,23.1,8,7,6.8,3.6,29,1,7.6
"71","Temperate","Invierno",0,33,13,13,66,40,1025.3,1021,9.8,1,2,1.8,9.5,16.4,0,13.7
"72","Tropical","Invierno",0,41,9,28,48,33,1015.7,1012,23.8,2,7,5.6,10.9,30.9,0,16.1
"73","Temperate","Invierno",5,35,11,19,99,68,1019,1018.5,10.2,5,2,1.8,5.5,13.5,1,5.1
"74","Subtropical","Verano",0,41,26,22,68,64,1023,1021.6,21.7,3,1,7,13.2,21.9,0,5.4
"75","Subtropical","Otoño",2,37,24,28,87,58,1016.5,1012.2,20.2,8,7,2.8,1.1,25.4,1,7.3
"76","Temperate","Invierno",2.4,20,6,7,94,86,1030.2,1027.9,8.3,5,5,0.8,7.1,10.3,1,7.4
"77","Temperate","Otoño",0.4,17,6,9,99,44,1025.3,1021.2,6.4,1,0,1.6,9.3,20.4,0,15.9
"78","Tropical","Primavera",0,48,15,30,70,45,1013.1,1008.2,28,5,3,7.8,8.3,32.9,0,9.7
"79","Desert","Verano",0,43,15,15,10,4,1012.5,1009.1,29.7,1,0,17,13.7,39.3,0,20.5
"80","Subtropical","Invierno",0,37,13,30,54,40,1011.9,1007.1,18.5,1,3,3.6,10.2,24.1,0,13.9
"81","Subtropical","Invierno",0,44,9,24,54,29,1013.6,1012.2,14,6,5,4.2,8.5,18,0,9
"82","Grassland","Primavera",0,39,7,9,62,52,1009.4,1009.2,17.6,5,7,12,7.9,20.1,0,15.3
"83","Subtropical","Invierno",0,52,17,31,40,26,1013.8,1010,12.7,7,7,5.6,6.7,17.5,0,12.8
"84","Temperate","Invierno",1.4,61,22,31,87,83,1010.3,1009.9,7.4,7,4,2.8,3.1,9,1,4.8
"85","Tropical","Verano",25.2,41,17,26,93,66,1006.8,1003.5,26.9,8,7,2.2,3.8,30.6,1,6.5
"86","Subtropical","Verano",0,59,13,7,62,73,1007.6,1005.5,26.9,7,7,6.8,4.8,26.5,0,8
"87","Desert","Otoño",0,30,20,7,65,26,1015.1,1012.4,18.7,1,7,16,8.9,28.3,0,13.7
"88","Subtropical","Otoño",0.2,35,20,24,67,60,1021.7,1019.1,20.6,5,4,3.8,8.4,21.9,0,6.2
"89","Temperate","Verano",21.8,35,9,17,85,55,1009.7,1008.8,20.1,7,1,5,12.1,27.3,1,11.3
"90","Tropical","Otoño",0,31,6,20,67,50,1013.6,1010.3,26.9,4,7,4.8,10.6,28.7,0,8.3
"91","Temperate","Invierno",46.8,67,15,41,96,92,1007.7,1002.9,10.9,8,8,2.4,0,12.8,1,5.7
"92","Temperate","Otoño",5.8,35,13,15,74,42,1011.7,1007.4,11.9,1,5,4.4,9.5,19.5,1,11
"93","Temperate","Verano",0,31,19,13,56,49,1013.8,1012.2,15.8,7,1,5.4,13.8,20.5,0,11.7
"94","Desert","Primavera",0,39,20,17,20,5,1024.1,1020.7,17.2,0,0,7.6,12.1,26.2,0,20.1
"95","Subtropical","Verano",1,39,15,6,54,29,1011.9,1009.2,26.7,1,4,23.8,10.8,34.7,0,15.2
"96","Tropical","Otoño",0,30,17,15,66,34,1014.9,1011.2,29.3,2,5,6.6,11,35.3,0,10
"97","Subtropical","Invierno",0,37,9,24,39,28,1013.7,1013.9,16.2,1,1,2,9.6,19.2,0,12.8
"98","Subtropical","Verano",0,76,28,11,54,36,1014.8,1011.7,25.1,8,8,8.8,0.7,31.3,0,8.7
"99","Subtropical","Otoño",0,54,13,20,77,74,1016.9,1015,21.6,7,2,5.8,4.1,22.7,0,6.8
"100","Subtropical","Otoño",6.8,35,11,9,82,67,1020,1019.6,19.8,1,7,4.2,6.5,24.7,1,8.1
"101","Temperate","Otoño",0,31,19,2,51,31,1025.1,1021.9,19.7,2,3,5.8,11.3,26.3,0,12.7
"102","Subtropical","Verano",0,50,17,31,70,71,1011.7,1009.1,27.3,5,4,1.6,9.9,28.6,0,7.2
"103","Tropical","Otoño",0,44,22,20,47,28,1013.3,1009.8,23.8,1,1,7.6,11.1,31,0,11.8
"104","Subtropical","Otoño",0,41,15,6,53,28,1013.7,1011.3,19.3,6,7,3.8,9.1,28.9,0,15.8
"105","Subtropical","Primavera",0,33,19,20,78,66,1015.1,1014.5,18.8,6,3,3.4,11.5,19.9,0,5.3
"106","Grassland","Otoño",0.2,50,9,20,36,17,1012.1,1007.7,30.7,1,3,8.6,9.6,37.9,0,15.2
"107","Subtropical","Primavera",0,24,4,11,63,51,1020.3,1017,20.9,3,7,4.6,7.5,22.4,0,10.3
"108","Temperate","Otoño",0,50,24,26,58,35,1025,1022.1,18.1,7,7,5.4,5.8,26.4,0,11.7
"109","Temperate","Primavera",0.4,33,11,19,85,54,1018.2,1016.3,13.6,1,1,2.2,10.8,19.7,0,12.6
"110","Subtropical","Primavera",0,52,26,26,70,73,1019.7,1018.2,16.6,6,7,7,6.7,17.6,0,3.7
"111","Temperate","Verano",0,39,20,9,37,13,1015.8,1012,25.8,1,1,12,13.1,38.2,0,18
"112","Subtropical","Invierno",0,39,15,19,43,44,1027.8,1026,13.4,1,1,6.2,10.4,17,0,8.5
"113","Tropical","Invierno",0,44,22,35,46,52,1022.4,1018.3,21.1,1,2,8,10.6,22.9,0,16.4
"114","Tropical","Otoño",0,35,13,22,61,60,1015.4,1012.6,26.9,6,7,6.6,7.2,29,0,7.3
"115","Subtropical","Otoño",0,35,22,24,78,76,1009.9,1008.1,22.7,6,6,4.6,5.7,24.1,0,3.9
"116","Temperate","Invierno",0,22,0,17,91,62,1036.3,1035.2,7.3,6,3,1.4,8.4,12,0,10.3
"117","Tropical","Otoño",0,28,9,20,75,63,1012.4,1008.5,30.6,2,2,8,11.5,33.4,0,8.6
"118","Temperate","Otoño",20.6,63,30,37,75,60,1006.6,1008.9,13.1,7,7,2,5.9,13.8,1,2.5
"119","Tropical","Otoño",0,26,0,15,74,59,1013.6,1010,26,1,1,5.4,10.8,28.6,0,8.8
"120","Temperate","Verano",0,35,13,19,55,45,1023.9,1022.4,13.5,7,2,4.6,10.2,18.5,0,8.4
"121","Desert","Otoño",0,35,7,24,78,41,1018.6,1017.1,13.8,0,4,1.6,9.3,19.1,0,10
"122","Temperate","Invierno",0.2,67,30,30,82,90,1010.1,1007.7,10.3,4,8,2,4.5,10.5,0,5.8
"123","Tropical","Verano",0,33,17,17,73,70,1006.5,1003.9,30.9,3,5,8.4,7.8,31,0,5.7
"124","Subtropical","Verano",0,39,28,24,59,44,1016.9,1013.8,24.1,1,2,6.6,11.8,29.9,0,13.3
"125","Tropical","Otoño",0,22,11,15,71,45,1012.7,1009.6,26.4,1,2,1.6,10.6,32.8,0,9.5
"126","Desert","Verano",0.4,65,37,31,51,21,1011.1,1009.9,20.6,1,0,18.6,11,28.5,0,13.4
"127","Temperate","Invierno",0.2,39,11,19,82,47,1036.5,1034.4,7.3,0,1,1,9.1,16.7,0,15.9
"128","Subtropical","Primavera",20.8,61,46,43,93,91,1018.2,1016.4,15.5,8,7,9.4,0,16.9,1,4.1
"129","Grassland","Otoño",0,33,17,15,21,13,1014,1009.6,25.4,4,4,25,11.1,32.5,0,18.1
"130","Subtropical","Verano",0,39,11,20,44,35,1015.2,1011,20.8,5,6,10.4,11.8,27.2,0,14.4
"131","Subtropical","Primavera",0,61,20,44,57,52,1025.4,1021.9,23.3,1,1,11,12.6,25.6,0,8.9
"132","Temperate","Primavera",8.8,37,7,20,86,53,1025.8,1025.6,9.5,7,7,5.6,6,12.9,1,6.2
"133","Temperate","Otoño",0.4,70,11,44,97,46,1017.7,1017.7,14.7,7,2,1.4,9,23.5,0,13.1
"134","Temperate","Invierno",5,50,19,19,88,80,1004.6,1002.2,7.4,7,6,1.8,2,9.3,1,4.8
"135","Temperate","Verano",0,44,4,24,60,18,1013.9,1012,22.4,0,1,9.4,13.2,32.1,0,17.9
"136","Temperate","Invierno",15.8,44,20,11,80,46,1017.7,1016.6,8.9,3,5,2.2,7.1,14.3,1,8.4
"137","Subtropical","Invierno",0,43,9,17,28,21,1016.7,1013.7,17.3,1,1,4.8,10.9,20.9,0,9.1
"138","Subtropical","Invierno",0.2,28,11,9,73,48,1023.2,1019.7,10.6,4,1,6,9.8,19,0,15.2
"139","Tropical","Invierno",0,43,28,31,60,57,1021.4,1018.5,22.2,7,7,7.4,1.3,24.4,0,7.3
"140","Subtropical","Verano",0,35,15,19,28,16,1013.8,1011,30.7,1,1,12,12.5,37.5,0,21.7
"141","Subtropical","Otoño",0,63,31,15,58,40,1020.7,1017.5,25.2,7,7,6.4,7.3,32.6,0,12.3
"142","Temperate","Primavera",0,63,43,33,61,45,1026.2,1023.6,15.1,7,6,5.2,4.2,19.7,0,10.4
"143","Temperate","Invierno",1,35,15,17,77,64,1033.2,1031.4,11.7,3,4,0.8,6.8,12.2,0,3
"144","Tropical","Otoño",0,44,20,28,59,50,1018.4,1015.4,21.5,6,2,6.8,8.9,25.7,0,10.8
"145","Temperate","Verano",10.8,44,9,20,91,75,1016.6,1014.9,15.5,8,8,1.6,0.4,18.2,1,5.1
"146","Temperate","Otoño",0,41,19,17,52,45,1025,1021.3,18.3,6,7,5.2,7.9,22.2,0,8.8
"147","Temperate","Invierno",0,63,17,39,64,42,997.3,996.7,8.4,7,5,4.8,7,13,0,10.2
"148","Desert","Invierno",0.4,52,22,24,68,61,1012.5,1005.2,14.5,8,7,8,5.6,19.8,0,7.9
"149","Temperate","Verano",0,41,22,9,56,40,1012.8,1009.9,22.5,7,3,6,9.8,29.9,0,16.4
"150","Subtropical","Primavera",0,28,13,15,59,60,1023,1021.9,20.4,3,2,5.8,10.8,21.2,0,8
"151","Subtropical","Verano",0,37,9,17,63,45,1014.3,1011.6,22.4,1,0,8,13.2,30.1,0,13.8
"152","Tropical","Otoño",0,31,15,22,45,37,1022,1019.5,20.5,1,1,4.6,10.9,24,0,12.3
"153","Subtropical","Otoño",0,44,22,22,77,84,1011.7,1009.2,24.6,7,8,5.6,2.2,23.5,0,4.2
"154","Subtropical","Verano",0,57,30,13,52,22,1009.8,1004.3,25.5,0,1,16,12.8,36.2,0,16.2
"155","Tropical","Invierno",0,37,15,17,36,25,1016.1,1011.9,22.6,6,7,8,8.7,30.9,0,14.3
"156","Temperate","Otoño",0,48,30,30,61,36,1019.5,1020.4,17,8,6,9.2,6.1,20.3,0,6.6
"157","Subtropical","Invierno",0,41,28,19,57,26,1017.6,1012.9,10.5,0,0,4,9.6,17.8,0,11.3
"158","Temperate","Primavera",0.8,80,31,31,48,51,1001.1,996.7,16.6,6,7,6,5.8,18,0,10.8
"159","Temperate","Invierno",0.2,48,22,24,66,51,1025.8,1022.6,7.8,7,7,1.8,3.4,13.4,0,7.4
"160","Tropical","Primavera",0,35,19,19,36,54,1013.7,1010.5,29.5,5,7,6,7.6,30.2,0,9.8
"161","Subtropical","Primavera",0,59,15,6,40,19,1011.2,1008.1,20.6,5,6,10.6,9.2,27.3,0,15.4
"162","Subtropical","Primavera",0,44,15,26,58,39,1011.5,1010.1,16.7,7,1,8.4,8.1,20.6,0,10.7
"163","Tropical","Primavera",0,37,20,24,59,43,1014.3,1009.5,30,4,2,7,10.3,33.8,0,8.6
"164","Subtropical","Otoño",0,31,9,6,55,30,1022.2,1017.8,20.2,0,0,6.4,11,28.5,0,15
"165","Temperate","Verano",0,43,13,24,69,43,1015.6,1013,20.9,6,3,4.6,10.8,25.5,0,11.6
"166","Temperate","Primavera",0.2,50,19,28,90,51,1016.6,1011.1,9.2,5,3,2.6,7.6,17.8,0,12.2
"167","Temperate","Otoño",7,59,2,15,84,56,1008.6,1009.5,18.9,7,6,3,2.4,22,1,4.7
"168","Subtropical","Verano",0,39,20,19,33,36,1006.8,1003.1,27.3,3,7,10.4,10.9,29.5,0,12.4
"169","Desert","Primavera",10.4,52,13,20,66,60,1010.6,1004.9,17.9,6,8,4.2,3.1,21.6,1,11.1
"170","Subtropical","Otoño",0,20,6,4,66,47,1023.8,1020.3,19.9,6,2,5.4,8.7,25.6,0,10
"171","Subtropical","Primavera",0,33,17,19,54,55,1024.4,1022.5,16.3,2,1,6,10.6,17.5,0,5.1
"172","Temperate","Primavera",0,30,9,15,87,59,1015.2,1012.7,13.4,7,7,4.4,3.3,19.6,0,8.3
"173","Tropical","Primavera",1.8,33,6,20,66,58,1008.6,1004.7,28.5,7,7,5.8,6.7,33.2,1,8.7
"174","Tropical","Invierno",0,31,15,17,63,48,1018,1014.9,24.7,1,1,4.8,10.9,27.9,0,12.5
"175","Subtropical","Invierno",0,28,9,19,49,55,1027.1,1024.9,14.5,3,6,3.6,6.6,16.2,0,8.7
"176","Grassland","Otoño",0,44,17,24,77,44,1017.9,1014.8,13.3,1,7,2.8,5.5,20.5,0,10.4
"177","Subtropical","Otoño",0,39,30,24,74,57,1012.7,1011.2,21.9,7,3,6.8,7.5,27.2,0,7.9
"178","Subtropical","Verano",0,31,13,9,14,7,1014.5,1011.1,26.1,1,1,10,12.6,35.3,0,23.1
"179","Subtropical","Invierno",9.4,43,9,20,86,63,1014,1015.4,16.4,6,6,1.2,8.2,18,1,4.2
"180","Grassland","Invierno",13.4,33,17,7,93,95,1028.5,1024.8,7,8,8,2.4,0,8.1,1,4.1
"181","Subtropical","Otoño",1.8,50,15,17,73,68,1030.2,1027.7,18.5,4,7,1.8,7.7,19.9,1,10.3
"182","Subtropical","Otoño",22.4,30,15,17,90,76,1014.4,1013.1,18.7,7,7,2,4.3,21.2,1,5.9
"183","Subtropical","Verano",0,39,13,11,51,30,1010.7,1005.8,22.7,0,1,9.6,12.3,32.8,0,17.4
"184","Tropical","Verano",3,39,6,11,77,90,1008,1004.9,28.9,7,7,4.8,3.8,25.6,1,7.2
"185","Grassland","Verano",0,28,17,4,55,29,1018.2,1015.5,17.9,6,5,6.8,13.1,25.7,0,17.4
"186","Tropical","Primavera",0,44,7,19,67,61,1012.7,1008.5,30,4,3,7.2,10.7,32.4,0,9.5
"187","Temperate","Otoño",0,48,22,11,52,45,1015.5,1015.2,16.3,7,7,5.8,1.3,18.6,0,5.1
"188","Tropical","Verano",0,28,15,15,73,74,1008.1,1004.7,29.4,6,7,7,5.4,28.1,0,5.3
"189","Temperate","Otoño",0.2,22,15,9,91,69,1023.7,1021.4,9.8,5,7,0.4,4.3,15.5,0,9.6
"190","Tropical","Otoño",0,35,9,15,59,65,1015.1,1012.6,24.3,6,7,6,7.7,25.9,0,10.1
"191","Tropical","Otoño",0,28,9,6,64,28,1011.9,1008,27.2,1,1,5,11.2,33.5,0,11.2
"192","Subtropical","Verano",0.2,26,4,9,66,56,1017.1,1014.3,28.3,5,2,8,11.6,30.6,0,8.9
"193","Temperate","Otoño",0,41,0,24,58,25,1021.5,1020.1,13.7,3,1,3.4,9.3,19.4,0,13.4
"194","Subtropical","Verano",3.2,41,26,26,59,46,1023.9,1022.3,20.6,6,7,5.2,3.1,22.7,1,7
"195","Temperate","Otoño",0,39,15,13,48,54,1025.3,1022.7,19.6,8,7,7.4,0.3,19.5,0,5
"196","Subtropical","Invierno",2.2,46,22,17,71,73,1028.4,1027.3,10.4,1,7,2.6,5.1,16.9,1,9.8
"197","Temperate","Otoño",0.8,24,15,11,77,53,1030.2,1027.3,14.3,5,3,2.2,6.1,20.4,0,9.1
"198","Subtropical","Invierno",0,20,6,2,53,28,1019.6,1016.4,16,0,1,3.4,10.2,22.6,0,13.5
"199","Temperate","Otoño",0,44,17,22,65,54,1028.2,1027.8,12.3,7,6,0.8,2.3,14.6,0,6.8
"200","Temperate","Otoño",7.4,30,15,11,95,88,1032.8,1032.4,11.8,7,7,0.6,0.1,13.2,1,6.7
"201","Temperate","Primavera",0.2,72,43,22,45,46,994,994.1,14.2,8,8,3.6,4.1,16.8,0,7.1
"202","Subtropical","Primavera",0,43,6,11,55,53,1017.6,1011.8,23.4,0,1,5.6,10.3,27.5,0,15.5
"203","Grassland","Invierno",0,33,9,20,37,24,1024.8,1022.4,16.6,0,1,4,10.7,23.8,0,16.5
"204","Temperate","Verano",0,28,9,13,71,27,1015.9,1012.1,20,3,6,7.4,12,34.3,0,20.8
"205","Grassland","Otoño",2,20,9,11,99,53,1023.5,1022.4,7.6,0,3,1.1,5.8,15.2,1,12.6
"206","Tropical","Invierno",0,26,4,17,66,39,1016,1012.6,19.3,1,0,4.6,11,23.9,0,12.5
"207","Subtropical","Primavera",0,31,7,15,57,57,1020.7,1018.2,22.3,3,6,4.8,10.2,22.6,0,11
"208","Subtropical","Otoño",0.6,50,22,24,64,74,1027.8,1025.1,19.4,2,4,4.2,6.2,19.6,0,4.5
"209","Subtropical","Primavera",0,43,7,13,82,58,1007.8,1005.6,18.9,7,4,3.8,6.8,21.6,0,9.5
"210","Subtropical","Verano",0.4,52,31,24,75,59,1023.7,1023.2,17,7,7,5.8,4.8,20.7,0,6.3
"211","Tropical","Primavera",0,41,6,31,68,43,1016.4,1012,27.4,1,1,7,11,31.3,0,10.7
"212","Subtropical","Primavera",6,54,28,22,70,59,1022.1,1021.7,16.6,7,7,2.8,3.4,18.4,1,4.6
"213","Subtropical","Verano",0,56,17,9,39,21,1021.3,1018.1,25.8,0,5,11.2,13.1,34.4,0,16.1
"214","Subtropical","Invierno",0,37,20,13,58,34,1022,1018.5,16.7,0,1,4,9.5,22.3,0,15.9
"215","Desert","Invierno",0,35,6,17,63,31,1023,1019.6,8,7,4,1.2,6.2,14.3,0,9.8
"216","Temperate","Verano",7.2,57,31,35,61,56,1008.4,1011.4,14.2,8,4,8.2,9.9,17.2,1,5.6
"217","Temperate","Invierno",0.2,26,19,9,78,66,1019.6,1019.8,11.6,7,6,0.4,2.5,14.6,0,10.6
"218","Temperate","Primavera",0.4,50,30,13,72,40,1009.3,1011,17.6,6,3,6,10,25.1,0,12.1
"219","Temperate","Invierno",23.2,35,13,15,87,65,1021.5,1021.1,7.1,7,4,1.2,3.6,10.6,1,5.3
"220","Tropical","Verano",1.8,44,17,31,75,68,1013.3,1009.4,28.3,7,6,6.6,2.3,28.8,1,7.1
"221","Subtropical","Verano",0,48,30,31,48,63,1014.7,1012.3,23.6,2,1,8.8,11.9,24.2,0,4.7
"222","Temperate","Primavera",0.2,39,4,11,58,17,1022.9,1020.2,12,1,0,10.4,11.2,18,0,15.5
"223","Temperate","Invierno",0,50,24,24,55,65,1010,1008.9,12.7,6,7,2.8,3,13.9,0,4.5
"224","Desert","Primavera",0,50,24,31,42,35,1011.5,1009.2,26.4,6,8,12,6.4,29.3,0,10.4
"225","Subtropical","Otoño",32.4,56,24,28,98,60,1028.4,1026.4,17,8,7,4.2,1.5,20.9,1,7.3
"226","Tropical","Verano",0,37,17,11,64,77,1011,1008.9,30.6,4,7,7.4,5.5,28,0,7.5
"227","Subtropical","Otoño",0,31,7,24,71,66,1012.4,1009.8,15.5,4,7,1.4,4.7,19.5,0,9
"228","Temperate","Invierno",0,15,7,11,86,40,1018.4,1015.5,10.9,3,3,2.2,9.3,16.6,0,10.7
"229","Temperate","Invierno",0.4,30,9,11,99,55,1030,1024.8,2.7,6,7,1.4,6.8,14.3,0,15.4
