"","Koppen","Estacion","Lluvia","VelRafaga","Vel9am","Vel3pm","Hum9am","Hum3pm","Pres9am","Pre3pm","Temp9am","Nub9am","Nub3pm","Evaporacion","Sol","Temp3pm","LluviaHoy","target"
"27","Subtropical","Otoño",0,48,22,15,58,40,1016.1,1013.4,22.5,0,3,7.8,11.9,29.3,0,12
"28","Subtropical","Verano",0,20,11,13,66,53,1015.8,1011.8,27.8,2,1,6,11.6,32.3,0,10.8
"29","Desert","Otoño",0,24,11,13,47,23,1023.3,1020.2,18.4,1,0,5.6,11,24.2,0,13.8
"30","Temperate","Primavera",0,37,13,20,99,28,1022.7,1018.2,9.3,7,1,4,9.6,25,0,21.9
"31","Subtropical","Primavera",0.6,39,15,13,32,23,1024.3,1020.3,20.5,3,0,3.4,10.8,26.7,0,17.6
"32","Subtropical","Otoño",11.6,52,15,17,75,66,1010.2,1009.3,17.3,7,7,2.8,2.7,18.5,1,5.6
"33","Tropical","Verano",0,28,9,13,52,54,1009.9,1006.3,29,2,7,7.4,11.8,31.6,0,12
"34","Subtropical","Invierno",1.4,41,22,30,70,68,1031.1,1030.2,16,2,7,2,5.8,17.1,1,7.2
"35","Tropical","Primavera",0,46,19,28,60,29,1014.6,1009.9,29,1,1,7.6,11.7,33.2,0,10.9
"36","Temperate","Otoño",0,46,15,13,63,40,1009.6,1008.8,16.6,1,5,2.8,10.7,23.5,0,13.3
"37","Temperate","Invierno",0,61,9,31,99,74,1016.5,1011.5,7.5,7,8,1.2,0.7,13.5,0,12.6
"38","Subtropical","Otoño",0,22,6,9,73,77,1023.1,1020.2,19,7,7,4.2,1.7,20.4,0,6.6
"39","Tropical","Verano",0,33,20,19,35,41,1006.8,1003.2,29.9,2,1,9,12.7,33.2,0,12.8
"40","Temperate","Primavera",0,30,7,15,71,24,1024,1019.4,13.8,0,0,3.6,10.8,21.9,0,18.7
"41","Temperate","Invierno",0.4,31,9,20,93,55,1030.7,1028.3,10.1,7,7,1.2,3,13.4,0,5
"42","Temperate","Otoño",0,26,7,17,93,60,1025.6,1022.8,9.1,7,1,1,5.9,15.8,0,10.3
"43","Temperate","Otoño",0,33,6,22,69,48,1019.1,1019.1,14.1,1,7,4.6,10.2,18.7,0,11.1
"44","Tropical","Invierno",0,41,17,15,32,8,1014.4,1010.7,19.8,0,0,6.8,11.1,29.7,0,15.6
"45","Temperate","Primavera",0.6,43,11,19,65,47,1004.2,997.5,20.3,1,6,4.2,8.9,25.8,0,15
"46","Subtropical","Invierno",20.6,76,22,30,57,50,1002.3,1002.2,16.8,5,6,2,3.2,13.9,1,7.5
"47","Subtropical","Otoño",0,31,4,11,52,27,1012.9,1008.9,22.2,1,2,4.2,10.4,27.9,0,14.4
"48","Temperate","Otoño",0,28,11,17,80,25,1016.6,1015,14.3,7,7,5.8,3.1,28.3,0,17.9
"49","Subtropical","Verano",0,33,11,22,54,41,1007.4,1005.6,30.1,0,1,8.8,11.9,35.2,0,16.3
"50","Subtropical","Invierno",0,30,13,13,59,42,1030.5,1027.4,12.6,1,0,2,9,16.9,0,6.7
"51","Tropical","Verano",1.2,33,2,15,67,56,1010.4,1006.4,31,3,3,4.4,9,33.3,1,8.3
"52","Tropical","Invierno",0,48,20,24,60,37,1014.4,1010.5,27.7,3,1,5.8,10.4,33.1,0,8.1
"53","Subtropical","Primavera",0,35,15,26,24,28,1021.8,1018.7,23.7,1,1,6.6,11.6,29.1,0,21.2
"54","Temperate","Verano",0,57,19,43,70,48,1018.9,1016.6,18.2,1,3,11,12,23.8,0,12.7
"55","Grassland","Otoño",0,48,19,22,26,16,1019.7,1015.6,24.5,1,1,8.4,10.2,29.6,0,19.5
"56","Subtropical","Primavera",23.4,33,6,13,86,86,1021.6,1019.8,18.8,8,8,1.2,0,17.6,1,2.4
"57","Subtropical","Verano",0,31,2,17,56,50,1016.1,1013.4,24.9,4,5,7.8,12.1,28.5,0,11.7
"58","Subtropical","Verano",0,43,9,19,45,39,1009.9,1007.8,27.4,3,1,14.2,12.9,31.1,0,12.6
"59","Subtropical","Primavera",0,31,19,17,44,13,1023.9,1019.6,13.9,3,3,4,10.3,24.1,0,21.5
"60","Temperate","Primavera",0,22,9,7,93,58,1025.6,1022.5,10.1,7,3,1.8,3.8,13.9,0,5.9
"61","Temperate","Primavera",0.2,46,19,28,72,68,1019.4,1015.2,11.5,8,2,3.4,3.6,14.4,0,6.7
"62","Tropical","Verano",1.4,46,15,37,72,53,1009.9,1008,27.7,3,3,8.6,9.5,31.3,1,9.7
"63","Tropical","Invierno",0,39,7,26,67,67,1020.4,1016.7,22.1,7,7,6.6,2.4,24,0,6.6
"64","Grassland","Invierno",0,35,0,20,45,26,1028.6,1025.5,10.4,0,1,5,10,18.5,0,18.6
"65","Subtropical","Verano",0,39,6,31,55,47,1017.3,1015.1,23.2,1,6,6.8,9.3,26.8,0,13.3
"66","Subtropical","Invierno",5.2,33,11,20,94,55,1021.5,1022,11.7,7,3,1.2,7.4,17.5,1,8.8
"67","Temperate","Otoño",2.2,30,11,15,71,67,1023.1,1021.1,12.1,7,8,1.6,7.1,13.5,1,6.9
"68","Subtropical","Otoño",3,59,30,30,95,95,1007.5,1004.2,21.6,7,7,5.6,0,21.8,1,1.5
"69","Temperate","Otoño",20,59,20,13,65,72,1009.9,1015,13.2,7,4,4.2,5.3,10.5,1,4.4
"70","Temperate","Primavera",0,37,11,19,79,39,1018.9,1014.3,12.2,7,5,2.6,9.6,21.4,0,16.9
"71","Temperate","Primavera",0,35,9,17,81,50,1024.3,1020,12.5,8,2,6.4,10.1,21.2,0,13.1
"72","Temperate","Invierno",10.6,78,17,7,71,61,1011,1018.1,5.6,7,6,1.6,4.8,6.8,1,5.4
"73","Tropical","Otoño",0.8,52,20,24,81,55,1012.2,1008.8,27.6,6,6,4.8,10.1,32.2,0,8.4
"74","Grassland","Verano",0,39,26,17,21,16,1010.6,1007.9,33.8,0,1,19.2,13,39,0,12.9
"75","Subtropical","Invierno",0,46,26,30,60,32,1018.6,1014.3,13.5,1,6,2.6,9.9,18.9,0,13.1
"76","Subtropical","Invierno",0,56,24,26,48,46,1014,1009.8,17.6,1,5,4.4,6.9,20.2,0,9.2
"77","Desert","Otoño",0,43,11,17,34,10,1018.2,1016,24.6,7,3,9,4,33.9,0,13.1
"78","Temperate","Invierno",5.4,17,0,13,97,96,1017.5,1012.1,10.3,8,8,1,0,12.3,1,5.9
"79","Subtropical","Verano",0,35,17,22,72,67,1019.6,1019.4,22.7,2,3,5.8,12.1,23.7,0,6.2
"80","Temperate","Invierno",0,35,13,20,56,66,1030.2,1028.7,10.2,3,8,3,5.3,10.2,0,10.4
"81","Subtropical","Otoño",0,33,6,15,52,37,1026.2,1022.8,18.2,1,0,4,10,24.4,0,17.1
"82","Temperate","Invierno",0,41,11,17,66,50,1005,1005.2,7.4,5,4,0.8,7,10.8,0,8.2
"83","Subtropical","Verano",34.4,37,9,26,93,96,1014.1,1013.9,21.4,7,8,5.6,0,20,1,2.9
"84","Temperate","Otoño",0.2,43,17,11,51,30,1020.2,1018,16.3,0,0,8.2,11.2,23.6,0,8.7
"85","Subtropical","Primavera",0,74,46,35,76,70,1022,1024.3,17.3,7,7,8,0.4,17.5,0,1.6
"86","Temperate","Otoño",0,63,41,30,39,38,1021.4,1016.2,18.5,7,7,8.4,4.9,23.8,0,10.1
"87","Subtropical","Primavera",0,30,13,24,45,52,1021.4,1018.4,17.2,3,3,4.2,9.7,18.5,0,9.1
"88","Tropical","Primavera",0,28,9,17,61,63,1011.4,1008.1,29.6,2,1,5.8,11.8,29.9,0,8
"89","Subtropical","Otoño",9.6,41,13,19,70,49,1018.6,1021,15.6,3,4,2.8,9,18,1,6.2
"90","Subtropical","Invierno",0.2,35,9,9,74,70,1028.3,1024.6,14.3,2,2,2,9.2,16.8,0,8.3
"91","Subtropical","Primavera",0,41,28,15,48,18,1016.9,1011,19.6,1,1,8.2,12.4,30.5,0,18.7
"92","Subtropical","Otoño",2.6,56,30,22,48,64,1012.6,1010.6,18.5,5,2,6.6,8.2,18.5,1,3.8
"93","Temperate","Primavera",0,48,11,20,84,39,1013.9,1008.6,11.5,8,6,4,8.7,23.6,0,20.1
"94","Temperate","Otoño",0,30,6,15,84,45,1017.6,1014.1,14.4,4,1,2.6,8.4,25.9,0,18.6
"95","Temperate","Primavera",0,37,22,20,68,28,1033.1,1028.9,10.5,0,0,4.4,12.1,20.4,0,14.7
"96","Subtropical","Otoño",2.2,46,24,28,81,80,1015.5,1013.8,23.6,6,7,2.4,4.1,22.8,1,5
"97","Tropical","Primavera",0,35,9,22,55,48,1012.8,1008.3,31,1,1,6.4,11.6,34.2,0,9.8
"98","Temperate","Otoño",7,41,13,0,88,64,1018.9,1018.8,16.1,8,4,1.8,3.2,18.1,1,3.6
"99","Grassland","Primavera",0,37,26,13,43,26,1017.7,1013.1,21.7,0,1,4,12.5,28,0,15.3
"100","Subtropical","Otoño",34.2,35,11,15,95,93,1021.8,1019.1,17.6,8,8,4.8,0,18.8,1,4.2
"101","Subtropical","Primavera",0,44,15,28,61,41,1016.8,1012.9,18.6,3,2,4,10.9,22,0,12
"102","Grassland","Verano",25.8,44,15,20,97,64,1004.6,1004.5,17.5,8,7,9,4.9,18.8,1,5.7
"103","Grassland","Primavera",0,28,11,11,61,29,1021.2,1016.7,15.1,0,0,8,12.4,25.1,0,19.2
"104","Temperate","Invierno",0,63,15,35,74,39,999.4,996.2,11.6,3,7,5.6,8.8,16,0,6
"105","Subtropical","Primavera",0,41,17,9,55,93,1015,1015.8,18.3,4,7,4.6,5.2,15.7,0,6.2
"106","Temperate","Invierno",0,20,7,4,75,38,1027,1024.7,8,0,1,1.6,10.3,14.8,0,14.3
"107","Subtropical","Verano",3.8,46,24,17,61,89,1012.5,1011.1,25.7,5,8,5,2,23.3,1,5.9
"108","Temperate","Verano",0,54,7,24,56,16,1007.8,1005.2,21.8,0,2,8.4,12.2,31.6,0,18.1
"109","Subtropical","Verano",4.6,26,13,7,90,81,1018.5,1017.5,24.6,5,7,3.6,5.8,24.1,1,3.6
"110","Grassland","Verano",0,56,6,26,15,12,1012.4,1008.8,29.5,0,2,14.4,12.8,38,0,21.2
"111","Temperate","Primavera",5,48,15,20,72,37,1017,1017.2,14.3,6,5,2.4,6.2,20.2,1,12.8
"112","Temperate","Otoño",1.4,46,24,30,80,93,1021.8,1015.9,16.3,6,8,3.8,0.1,16.9,1,3.2
"113","Temperate","Otoño",1,31,9,15,74,45,1020,1021.9,13.7,2,1,1.8,9.3,16.9,0,8.1
"114","Subtropical","Verano",3.6,46,28,11,57,21,1016.1,1011.5,23.9,4,1,13.2,12,33.7,1,14.7
"115","Temperate","Invierno",0,19,13,6,86,57,1038.2,1035.2,6.8,5,0,1.6,8,13.1,0,10.5
"116","Subtropical","Verano",0,31,11,15,60,55,1012.9,1011.5,22.1,7,6,6.2,5.6,23.7,0,6.6
"117","Subtropical","Otoño",3.2,24,6,4,72,64,1022,1019.9,21,7,7,4.2,0.7,22,1,6
"118","Temperate","Primavera",0,26,9,11,82,65,1019.7,1018.4,14.5,8,4,3.8,9.2,17.7,0,6.9
"119","Temperate","Invierno",1.4,48,13,28,82,67,1020.5,1019.7,10.2,7,5,1,3.4,14.7,1,9.2
"120","Temperate","Otoño",2.8,35,7,7,99,71,1024.9,1024.5,9.6,7,7,0.8,1.9,12.5,1,8.2
"121","Temperate","Verano",0,43,17,28,62,43,1012.8,1011.3,16.5,1,1,7.6,10.9,22.3,0,16.4
"122","Subtropical","Invierno",0.4,61,20,37,83,55,1016.2,1012.3,14.8,3,7,2.6,5.2,19.8,0,10.2
"123","Subtropical","Otoño",0,30,20,15,61,32,1024.2,1020.2,17.3,2,7,3.8,8.4,23.9,0,15.1
"124","Subtropical","Primavera",0,37,11,22,72,72,1019.1,1016.6,16.7,7,7,4,2.9,18.7,0,12.2
"125","Temperate","Invierno",3.6,81,44,46,86,83,1005.2,1005.3,14,8,8,1.8,3.2,14.7,1,4.6
"126","Subtropical","Verano",0,43,17,17,40,16,1016.8,1010.5,21.5,1,5,10.8,11.2,30.9,0,18.5
"127","Temperate","Otoño",1.4,39,17,19,70,32,1017.1,1014.6,21.5,3,5,4.6,11.6,30.7,1,15.6
"128","Temperate","Otoño",0,28,11,15,70,48,1017.9,1015.4,19.3,2,1,3,7.6,25.2,0,15.7
"129","Grassland","Verano",0,80,17,11,51,25,1011.2,1008.6,24.6,2,5,9.2,8.1,33.6,0,14.4
"130","Tropical","Verano",0,33,13,15,63,57,1014.6,1011.8,28.6,2,5,7.8,8.1,29.9,0,7.1
"131","Subtropical","Otoño",0.2,50,20,26,74,64,1029.9,1028.6,18,3,2,4,8.8,19.6,0,7.5
"132","Temperate","Primavera",0,30,9,9,74,29,1018,1014.1,15.2,3,6,7.5,10.7,27.5,0,18.5
"133","Tropical","Primavera",3.8,41,26,31,62,61,1014.7,1011.4,27.5,2,1,8.8,11.1,28.1,1,7.3
"134","Temperate","Primavera",0.8,28,13,15,90,80,1030.1,1028.4,10.6,7,8,0.4,1.6,12,0,5.5
"135","Tropical","Primavera",0,41,28,30,53,50,1020.6,1016.1,26.9,3,1,12.8,10,27.1,0,5.7
"136","Subtropical","Otoño",0,43,15,7,46,26,1023.9,1019,22.9,6,6,8,9.6,29.2,0,13.8
"137","Temperate","Invierno",0,35,13,19,86,57,1034,1029.4,6.8,5,5,1.2,7.9,10.4,0,5.4
"138","Subtropical","Primavera",0,35,9,17,56,48,1029.6,1026.4,15.5,1,0,4.4,11.7,18.9,0,14.2
"139","Subtropical","Invierno",0,33,17,17,80,37,1025.4,1023.6,5.9,0,0,3.2,9.4,14.6,0,15.7
"140","Subtropical","Otoño",4.4,33,11,26,86,56,1023.8,1023.6,17.5,6,6,3.4,2,22.6,1,8.1
"141","Subtropical","Otoño",0,22,11,13,60,54,1020.8,1017.7,23.3,1,2,4,9.6,24.4,0,8.2
"142","Tropical","Invierno",0,33,15,22,61,51,1017.7,1014,24.5,1,1,7,11,27,0,11.6
"143","Subtropical","Verano",0,37,11,19,61,66,1010.6,1006.5,30.1,2,1,8,11.9,30.9,0,8.4
"144","Grassland","Verano",0,48,15,22,38,13,1012.5,1008.5,26.1,2,7,10.4,12.9,37.4,0,21
"145","Temperate","Otoño",0,52,30,31,44,23,1021.7,1018.9,21,7,7,8,7.7,27.8,0,13.2
"146","Subtropical","Otoño",0,24,6,9,69,57,1012.6,1010,27.5,5,3,6.6,10.3,30.1,0,8.8
"147","Grassland","Primavera",0,63,15,24,34,26,1005.6,1000.8,29.9,2,7,14.2,10.5,35.6,0,11.1
"148","Desert","Otoño",6.8,39,24,17,80,43,1008.8,1007.1,21.6,1,1,2.2,8.6,27.4,1,10.7
"149","Grassland","Invierno",0,44,20,20,71,47,1019.7,1014.9,11.2,2,3,2.4,9,21.2,0,15.9
"150","Subtropical","Invierno",0,39,0,13,96,94,1015.2,1011.7,11.7,6,8,2.2,3.4,14.7,0,12
"151","Temperate","Invierno",0,33,19,17,68,64,1017.3,1017.8,5.7,7,6,0.6,4,7.1,0,3.3
"152","Grassland","Primavera",0,39,26,13,16,12,1018.1,1015.4,18.2,0,1,14,11.3,23.4,0,9.8
"153","Subtropical","Invierno",15.2,37,0,17,95,49,1022.9,1023.1,8,1,1,1.8,9.4,13.9,1,11
"154","Temperate","Primavera",0.4,28,9,13,82,65,1022.9,1021.3,12.5,7,4,3.8,7.8,15,0,5.6
"155","Grassland","Verano",0,54,28,24,26,14,1007.5,1003.5,27.2,4,2,22.8,8.3,36.5,0,12.8
"156","Grassland","Otoño",16.4,35,17,15,100,50,1007.9,1007.5,12.3,8,6,7.8,5.3,17.4,1,7.8
"157","Temperate","Otoño",0,44,19,24,65,54,1024,1022.6,14.8,7,7,5.4,12,17.2,0,5.3
"158","Subtropical","Primavera",0,26,11,20,52,34,1016.6,1013,18.7,7,7,7.8,8.5,25.8,0,12.7
"159","Grassland","Primavera",0,52,26,30,20,13,1020.6,1016.3,24.5,1,1,12.2,12,29.5,0,18.3
"160","Temperate","Invierno",0,31,13,20,68,49,1026.1,1025.6,10.7,4,7,2.2,4.8,14.5,0,7.4
"161","Temperate","Primavera",0,37,6,24,87,25,1030.2,1025.5,12.8,1,1,5.8,10.3,24.6,0,20.5
"162","Subtropical","Invierno",0,52,17,20,53,78,1030.6,1027.4,16.2,3,7,3.8,7.7,15.9,0,4.3
"163","Temperate","Primavera",23.2,59,31,20,100,99,1004.9,1011.5,12.7,7,8,2.4,3.2,12,1,3.6
"164","Subtropical","Otoño",0.2,30,15,15,63,60,1018.2,1016.3,22.1,1,6,3.6,9.7,22.9,0,7.2
"165","Subtropical","Otoño",0.4,22,4,9,85,77,1025.7,1022.2,17,7,4,3,4.5,21.1,0,9.1
"166","Subtropical","Invierno",1.4,57,26,20,65,58,1015.7,1016.3,17.5,2,3,6.4,8.3,18.4,1,3.6
"167","Subtropical","Invierno",5.8,28,13,13,87,81,1017.4,1016.2,12.8,4,5,1.8,4.8,16.5,1,11.1
"168","Temperate","Primavera",8.8,57,19,17,93,88,997.5,991.5,16.6,8,7,2.6,1.3,15.1,1,12.5
"169","Temperate","Primavera",0,52,20,20,77,55,1016.5,1014.1,9.4,5,6,3.2,6.5,14.4,0,10.3
"170","Subtropical","Verano",0,39,20,17,27,24,1013.5,1011,32.4,7,6,11.4,8.4,35.2,0,17.5
"171","Grassland","Verano",0,26,9,9,24,8,1012.5,1008.8,27.2,1,0,8,13.3,36.8,0,21.8
"172","Temperate","Invierno",0.1,35,9,20,80,40,1021.9,1018.3,7.6,3,2,0.9,9.7,15.3,0,15.9
"173","Subtropical","Otoño",2.4,52,24,31,69,53,1013.6,1010.4,18.2,7,4,3.6,8.3,19.8,1,4.2
"174","Temperate","Primavera",0,30,19,17,83,55,1015.4,1010.2,7.5,7,7,2,5.1,16.7,0,15.4
"175","Tropical","Verano",10,50,17,31,66,62,1006.4,1003.6,27.3,7,7,6,3,28.6,1,4.8
"176","Temperate","Primavera",10.4,59,26,15,63,44,1006.1,1005.2,12.1,7,7,4.4,2,15.6,1,7.1
"177","Grassland","Invierno",0,26,7,15,83,40,1022.1,1017.8,10.3,7,7,4,4.8,22.2,0,19.1
"178","Temperate","Invierno",1,59,28,37,58,40,1012.3,1012.3,9,1,4,1.6,6.6,14.7,0,10.1
"179","Temperate","Otoño",0.2,24,9,13,68,35,1026.1,1022.3,9.5,0,5,3.6,10.7,16.3,0,15.4
"180","Temperate","Otoño",2.2,20,7,11,86,54,1024.5,1021.2,15.3,1,6,1.8,5.1,21.4,1,10
"181","Tropical","Primavera",0,33,11,19,67,60,1017.8,1014.6,23.6,1,1,6.2,10.9,25.6,0,11.6
"182","Temperate","Otoño",1.4,59,11,22,60,39,1017.7,1017.9,15.4,7,1,4.2,8.3,22.5,1,13
"183","Grassland","Otoño",0,31,7,13,55,21,1022.9,1019.6,18.1,3,4,5.8,10.2,30.7,0,16.6
"184","Subtropical","Primavera",0.4,46,17,26,67,65,1020.7,1020,18,7,6,7.2,4.6,20.4,0,5.5
"185","Subtropical","Primavera",0,43,24,28,59,56,1012.2,1010.9,16,5,3,5,10.7,18.1,0,9.5
"186","Tropical","Otoño",0,48,24,31,61,48,1012.1,1008.7,28.3,7,7,7.8,9.7,30.5,0,7.9
"187","Subtropical","Invierno",0.2,59,20,41,44,25,1012.4,1008.4,14.8,1,3,2,9.4,19.4,0,11.1
"188","Tropical","Invierno",0,30,19,17,61,58,1017,1013.9,22.7,1,1,5.6,11,26.1,0,13.2
"189","Tropical","Invierno",0,35,11,20,66,59,1014.9,1010.9,28.1,3,3,5.8,8.9,30.7,0,9.6
"190","Subtropical","Otoño",20.2,39,19,20,99,75,1017.3,1016.6,12.6,7,7,0.8,0.8,16.8,1,5.3
"191","Temperate","Otoño",0,31,6,11,87,39,1025.4,1022.1,13.4,0,1,4.8,12,26.2,0,17.8
"192","Tropical","Otoño",0,28,11,17,68,60,1015.6,1012.2,28.4,1,1,6.4,10.7,30.9,0,9.3
"193","Temperate","Verano",0,50,28,11,61,92,1007.3,1008.3,20.7,8,8,7.6,2.5,17.9,0,8.5
"194","Subtropical","Otoño",0,28,9,17,76,49,1007.2,1003.7,22.5,7,2,5.8,7.8,27.2,0,10.2
"195","Tropical","Verano",0,54,31,37,55,49,1015.2,1012.1,28.3,7,7,13.2,11,30.3,0,7.8
"196","Subtropical","Otoño",0,31,20,17,81,74,1019.7,1017.6,22.5,4,3,3,9.3,22.9,0,4.1
"197","Subtropical","Primavera",0,22,4,9,50,48,1022.1,1018,23.4,1,2,7.2,11.9,25.5,0,12.7
"198","Temperate","Invierno",3.2,93,20,13,65,35,1022.4,1021.9,9.9,1,6,3.6,7.1,14.8,1,6.6
"199","Temperate","Invierno",0.2,35,15,22,86,62,1022.3,1018.2,10.1,2,4,1.2,7.9,17.3,0,14
"200","Temperate","Invierno",0,20,11,6,88,78,1020.6,1020.1,8.8,7,7,1.6,2.4,13.1,0,9.7
"201","Desert","Primavera",0.6,106,31,19,58,18,1010.9,1006.9,23,3,0,13,8.7,35.1,0,16.3
"202","Grassland","Otoño",0,41,20,24,55,29,1025.9,1023,9.3,1,0,4,10.2,15.7,0,13.4
"203","Tropical","Verano",10.2,59,24,24,96,96,1003.7,1002,24.6,8,8,4.6,0.1,25.4,1,3.1
"204","Temperate","Invierno",0,35,13,17,67,56,1017.4,1015,9.3,7,7,2.8,3.8,13.4,0,5.7
"205","Tropical","Otoño",0,31,9,19,70,52,1013.1,1009.8,26.3,5,3,6.6,10.7,29.5,0,11.9
"206","Desert","Invierno",0,44,17,24,63,32,1021,1016.4,11.8,1,1,3.8,8.7,20.8,0,14
"207","Tropical","Primavera",0,57,17,26,61,55,1013.3,1008.8,30.5,3,3,7.6,10.3,32.6,0,7.3
"208","Grassland","Primavera",0,48,28,33,22,11,1016.2,1009.9,18.5,1,7,5,5.1,24,0,19
"209","Temperate","Invierno",0,19,7,6,92,48,1036.6,1033.7,6.3,2,1,1.6,9.1,12.1,0,11.3
"210","Subtropical","Otoño",0,35,13,17,81,61,1013.5,1009.9,22.4,5,3,6.6,7.4,27.5,0,7
"211","Temperate","Otoño",0,19,6,11,76,57,1032.2,1029.5,9.1,1,1,1.8,9.7,15.5,0,11.1
"212","Temperate","Primavera",0,30,7,22,75,60,1013.3,1010.4,11.7,7,3,3.6,6,15.9,0,7.6
"213","Temperate","Primavera",9,59,9,22,99,62,1015.3,1015.3,7.7,7,4,3,6.1,11.8,1,8.3
"214","Tropical","Primavera",0.6,57,22,37,84,52,1018.2,1014.9,23.1,7,5,7.4,7.6,28.5,0,8.3
"215","Tropical","Invierno",0,28,17,15,73,40,1014.7,1010.9,20.2,2,2,3.8,10.3,24.8,0,10.6
"216","Tropical","Verano",0.2,33,17,24,73,66,1006.8,1004,30.2,7,2,5.6,7.9,31.9,0,7
"217","Tropical","Primavera",18.8,48,22,33,85,92,1016.5,1013.9,25.2,7,8,6.8,0.7,23.6,1,4.5
"218","Subtropical","Verano",0,28,6,13,65,44,1013.2,1012.7,24.9,3,7,5,9.1,31.7,0,16.7
"219","Tropical","Otoño",0,44,19,31,54,44,1017.5,1014.7,25.2,5,7,7,10.6,27.9,0,12.6
"220","Grassland","Otoño",0,30,13,13,26,14,1016,1012.1,22.9,0,1,7.2,11.1,32.4,0,20.4
"221","Temperate","Otoño",1,48,15,26,90,68,1020.3,1018.1,10.2,7,6,1.8,3.6,13.4,0,8.7
"222","Tropical","Primavera",0.6,43,17,24,48,57,1009.6,1005.1,31.4,1,1,7.2,12.5,32.3,0,9.9
"223","Temperate","Verano",0,35,7,22,69,41,1020.2,1018.3,19.4,2,3,6.6,11.6,28.3,0,16.2
"224","Desert","Invierno",0.4,63,28,43,87,61,1010.8,1008.3,9.9,7,6,2.8,5.3,13,0,8
"225","Grassland","Invierno",0,54,17,31,81,46,1008.7,1002.9,9.6,7,7,3.3,7.2,16.5,0,10.3
"226","Tropical","Primavera",0,39,24,31,55,59,1018.6,1015.9,28.2,3,2,10.2,11.7,29,0,7.9
"227","Temperate","Primavera",0,30,6,15,99,47,1026.4,1021.5,9.5,2,6,2,6.5,19.8,0,14.6
"228","Subtropical","Verano",0,39,17,20,47,23,1013.4,1009.4,24,1,1,11.2,13,32.9,0,17.6
"229","Temperate","Verano",0,50,22,20,28,10,1014.8,1011.4,26.3,6,6,4.8,13.6,36.1,0,29.1
